Libelle;Densite de generalistes lib. 2024;Densite de population (historique depuis 1876) en 2022.;Part des personnes agees de 75 ans ou plus, 2022;Taux d'activité par tranche d'âge (25 à 59 ans), 2022;Part des ménages fiscaux imposés, 2021;Part des actifs occupés de 15 ans ou plus qui utilisent principalement les transports en commun pour aller travailler, 2022;Présence d'une faculté de médecine;Part de bénéf. de produits pharma dans la pop 2024;Densité d'infirmiers lib. 2024;Densité de kinés lib. 2024;Indice de vieillissement 2022
ZONE;DENS_MED_LIB;DENSITE;PART_75;TAUX_ACTIV;PART_IMPOT;PART_TRANS_COMM;UNIV;PART_PHARMA;DENS_INF;DENS_KIN;IND_VIEIL
Beziers;8.1;112.9;12.9;85.5;40.9;3.7;0;98.2;28.4;16.1;123.4
Cahors;7;36.5;14.7;91.8;46.5;2.6;0;93.5;25.1;12.1;173.5
Carcassonne-Limoux;7;51.9;12.5;88;41.8;2.6;0;91.5;24.2;12.6;128.5
Castelsarrasin-Moissac;5.4;48.5;12.7;88.4;41.5;1.4;0;87.7;22.5;10;113.8
Castres-Mazamet;7.4;55.7;13.8;90.9;43.5;2.5;0;91.2;26.1;13.1;133.2
Figeac-Villefranche;6.6;40.1;15.7;90.8;44.3;1.3;0;90.3;26.5;10.3;164.8
Foix-Pamiers;8.6;36.4;12.6;90.2;43.8;2.7;0;90.4;26.3;14.5;128.1
Mende;5.9;15.3;12.5;91.7;46.4;0.9;0;87.9;19.5;13.2;127.3
Millau;8.2;20.5;13.5;90.8;42.7;1.6;0;88.8;26.4;15;143.5
Montauban;7.4;86.8;10.3;90.6;47.4;3.1;0;95.3;22;14.3;90.6
Montpellier;11;284.6;9.3;89.4;51.8;11.4;1;95.3;18.5;23.4;84.5
Narbonne;9.2;85.9;12.9;87.6;42.3;3.2;0;95.4;25;18.3;133.4
Nimes;9;214.5;10.2;88.1;47.2;5.1;0;96.4;23.2;16.4;91.5
Nord-du-Lot;7.9;30.2;15.6;92.9;46.7;1;0;90.1;22.8;11.4;180.7
Perpignan;9.6;116.2;13.1;85.9;43.8;3.5;0;NA;28.8;24.6;128.9
Rodez;8.6;34.7;13.3;93.9;48.6;2.2;0;92.2;26.7;14.4;130.1
Saint-Gaudens;7;30.4;14.9;90.1;44;2.5;0;90.2;27.9;16.4;158.9
Sete;11.9;485.2;14.1;88.5;46.6;5.9;0;97.1;26.7;20.6;143.5
Tarbes-Lourdes;8.5;51;13.8;89.6;45.8;1.9;0;91.9;26.2;16.5;143.2
Toulouse;10.2;350.9;7.7;91.7;57.7;14.4;1;92.9;15;17.4;66.6
Annecy;10.8;200.7;9.1;94.1;62.9;6.4;0;94.2;9;21.4;80.9
Aubenas;6.9;48.1;13.1;90.9;45.1;2.2;0;NA;22.6;12.2;139.3
Aurillac;9.9;40;13.4;92.6;47.3;2.2;0;94.2;19.7;11.5;141.7
Belley;8.5;49.1;11.4;92.2;53.3;3.7;0;91.3;21.8;11.7;109.6
Bourg-en-Bresse;7.2;103.6;9.8;92.8;54.8;5.8;0;93.4;16.2;8.6;83.1
Bourgoin-Jallieu;7.2;204;7.9;92;54.1;7.1;0;94;13.9;9.6;66.1
Chambery;11.3;233.8;10.2;93;59.1;7.6;0;93.5;14.6;21.4;92.5
Clermont-Ferrand;9.1;175.9;9.9;91.9;55.1;8.1;1;92.6;14.7;13.9;91
Grenoble;10;183.6;9.5;91.8;58.9;15.8;1;91.6;15.1;19.9;80.9
Issoire;10;40.8;11.8;92.4;46.3;2.5;0;92.8;22.4;14.2;120.7
La Maurienne;9.1;20.2;12.3;94.8;56.4;2.9;0;90.5;15.1;17.7;125.6
La Plaine du Forez;7.2;68;11.7;93.5;46.8;2.5;0;94.5;22.5;12.1;109.5
La Tarentaise;11;47;9.8;92.8;56.1;5.1;0;89.5;13.4;20.8;95.3
La Vallee de l'Arve;7.8;119.3;7.6;92.7;58.7;2.1;0;92.5;8;15.5;68.2
Le Chablais;7.4;158.4;9;93;60.5;10.5;0;91.6;10.2;14.1;81.1
Le Genevois Francais;4.8;246.7;6.3;91.8;50.5;10.9;0;79.2;4.5;7.5;54.3
Le Livradois;5.6;37.6;12.9;90.7;43.5;2.2;0;91.1;19.2;10.6;138.6
Le Mont Blanc;12.6;85.8;10.4;95.2;60.1;5.2;0;94.8;13.5;24.5;106.6
Le Puy-en-Velay;8.7;33.9;12.9;92.4;44.3;1.9;0;92.1;26;10.8;133
Les Sources de la Loire;9.2;47.3;12.1;93.5;45;1.5;0;93;22.2;10.6;117.3
Lyon;9;709.5;8.4;91;59.8;24.1;2;94;13.7;14.9;67.4
Montelimar;8.3;96.7;10.7;90.6;48.7;3.2;0;94;21.7;14.4;95.3
Montlucon;6.6;46.3;14.6;89.1;43.8;1.6;0;90.1;22.4;8;149.1
Moulins;8.2;30.7;13.4;90.6;45.7;2.9;0;91;16;8.2;135.8
Oyonnax;4.2;118.9;8.6;87.9;48.1;2.5;0;88.8;12.3;7.2;74.4
Roanne;7.6;110;13.3;90.9;46.1;3.4;0;92;16.1;9.3;120.2
Romans-sur-Isere;8.4;96.8;11.1;91.6;49.1;3.7;0;95.3;24.6;12.1;99
